2024-12-09 19:34:54, GET, blahblah, Retrieved a new stall record
2024-12-09 19:35:05, GET, blahblah, Retrieved a new stall record
2024-12-09 19:35:09, GET, blahblah, Retrieved a new stall record
2024-12-09 19:37:07, GET, blahblah, Retrieved a new stall record
2024-12-09 19:37:32, GET, blahblah, Retrieved a new stall record
2024-12-09 19:39:27, GET, blahblah, Retrieved a new stall record
2024-12-09 19:45:20, GET, blahblah, Retrieved a new stall record
2024-12-09 19:46:48, GET, blahblah, Retrieved a new stall record
2024-12-09 19:48:41, GET, blahblah, Retrieved a new stall record
2024-12-09 19:49:11, GET, blahblah, Retrieved a new stall record
2024-12-09 19:49:54, GET, blahblah, Retrieved a new stall record
2024-12-09 19:49:58, GET, blahblah, Retrieved a new stall record
2024-12-09 19:53:20, GET, blahblah, Retrieved a new stall record
2024-12-09 19:53:25, GET, blahblah, Retrieved a new stall record
2024-12-09 19:53:33, GET, blahblah, Retrieved a new stall record
2024-12-09 19:53:38, GET, blahblah, Retrieved a new stall record
2024-12-09 19:54:23, GET, blahblah, Retrieved a reservation record
2024-12-09 19:58:48, POST, blahblah,SQLSTATE[42S22]: Column not found: 1054 Unknown column 'FirstName' in 'field list'
2024-12-09 19:59:08, GET, blahblah, Retrieved a new stall record
2024-12-09 20:00:37, POST, blahblah, Created a new stall record
2024-12-09 20:01:00, GET, blahblah, Retrieved a new stall record
2024-12-09 20:01:30, GET, blahblah, Retrieved a new stall record
2024-12-09 20:09:44, POST, blahblah,SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '024' for key 'StallNo'
2024-12-09 20:10:17, POST, blahblah, Created a new stallholder record
2024-12-09 20:10:33, GET, blahblah, Retrieved a new stall record
2024-12-09 20:14:35, GET, blahblah, Retrieved a new stall record
2024-12-09 20:17:19, POST, blahblah,SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '17' for key 'PRIMARY'
2024-12-09 20:19:00, GET, blahblah, Retrieved a new stall record
2024-12-09 20:20:33, POST, blahblah, Created a new stallholder record
2024-12-09 20:20:44, POST, blahblah,SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '044' for key 'StallNo'
2024-12-09 20:20:53, POST, blahblah, Created a new stallholder record
2024-12-09 21:21:08, GET, blahblah, Retrieved a transaction record
2024-12-09 21:22:08, GET, blahblah, Retrieved a reservation record
2024-12-09 21:38:19, GET, blahblah, Retrieved a new stall record
2024-12-09 21:38:37, GET, blahblah, Retrieved a new stall record
2024-12-09 21:41:15, GET, blahblah, Retrieved a new stall record
2024-12-09 21:41:52, POST, blahblah,SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '020' for key 'StallNumber'
2024-12-09 21:42:03, POST, blahblah, Created a new stall record
2024-12-09 21:42:11, GET, blahblah, Retrieved a new stall record
2024-12-09 21:47:05, GET, blahblah, Retrieved a new stall record
2024-12-09 21:48:54, POST, blahblah, Created a new stallholder record
2024-12-09 21:50:41, POST, blahblah, Created a new stallholder record
2024-12-09 21:50:57, GET, blahblah, Retrieved a new stall record
2024-12-09 21:53:43, GET, blahblah, Retrieved a new stall record
